Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
LUXIND,Lux Industries Limited,2026-04-06,N/A,₹1093.85,₹1093.85,₹928.85,20.00%,20%,"₹270,012 Cr",9
LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,2026-04-06,N/A,₹125.15,₹125.15,₹110.12,9.99%,10%,"₹486,891 Cr",23
DSFCL,DCM SHRIRAM FINE CHEM LTD,2026-04-06,N/A,₹20.42,₹20.42,₹18.61,9.96%,10%,"₹14,730 Cr",5
SHANKARA,Shankara Building Products Limited,2026-04-06,N/A,₹120.94,₹120.94,₹114.00,4.99%,5%,"₹24,342 Cr",1
BANKA,Banka BioLoo Limited,2026-04-06,N/A,₹54.39,₹54.39,₹45.51,9.99%,10%,"₹4,909 Cr",1
RKEC,RKEC Projects Limited,2026-04-06,N/A,₹36.51,₹36.51,₹29.12,19.98%,20%,"₹7,270 Cr",1
ALPA,Alpa Laboratories Limited,2026-04-06,N/A,₹62.10,₹62.10,₹52.00,20.00%,20%,"₹10,845 Cr",1
LLOYDS,"LLOYDS.NS,0P0001PSKX,6000",2026-04-06,N/A,₹42.35,₹42.35,₹35.95,19.97%,20%,"₹21,193 Cr",0
KREBSBIO,Krebs Biochemicals & Industries Limited,2026-04-06,N/A,₹57.15,₹57.15,₹46.00,19.99%,20%,"₹10,316 Cr",0
MANUGRAPH,Manugraph India Limited,2026-04-06,N/A,₹13.53,₹13.53,₹11.02,19.95%,20%,"₹3,519 Cr",1
SPCL,"SPCL.NS,0P0001T88X,276000",2026-04-06,N/A,₹72.90,₹72.90,₹65.00,9.95%,10%,"₹65,523 Cr",0
CTE,Cambridge Technology Enterprises Limited,2026-04-06,N/A,₹27.15,₹27.15,₹24.80,9.96%,10%,"₹4,324 Cr",1
SGL,STL Global Limited,2026-04-06,N/A,₹11.82,₹11.82,₹9.40,20.00%,20%,"₹2,781 Cr",1
ZEAL,"ZEAL.NS,0P0001RE6T,6600",2026-04-06,N/A,₹78.45,₹78.45,₹64.00,19.95%,20%,"₹20,934 Cr",0
SAIFL,"SAIFL.NS,0P0001S3FP,44000",2026-04-06,N/A,₹9.95,₹9.95,₹9.05,9.94%,10%,"₹39,664 Cr",1
MCON,"MCON.NS,0P0001QKGC,7000",2026-04-06,N/A,₹45.70,₹45.70,₹45.70,9.99%,10%,"₹11,336 Cr",0
ACCORD,"ACCORD.NS,0P0001B90G,2000",2026-04-06,N/A,₹28.65,₹28.65,₹27.30,4.95%,5%,₹830 Cr,0
