Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
PVP,PVP Ventures Limited,2026-08-26,N/A,₹56.48,₹56.48,₹53.50,9.99%,10%,"₹122,073 Cr",58
DTIL,Dhunseri Tea & Industries Limited,2026-08-26,N/A,₹183.22,₹183.22,₹165.12,19.99%,20%,"₹15,979 Cr",5
JAIBALAJI,Jai Balaji Industries Limited,2026-08-26,N/A,₹68.89,₹68.89,₹65.07,5.00%,5%,"₹519,266 Cr",8
NECLIFE,Nectar Lifesciences Limited,2026-08-26,N/A,₹12.46,₹12.46,₹11.33,9.97%,10%,"₹20,090 Cr",15
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2026-08-26,N/A,₹80.75,₹80.75,₹75.35,4.99%,5%,"₹22,355 Cr",2
MICEL,MIC Electronics Limited,2026-08-26,N/A,₹37.69,₹37.69,₹35.50,4.99%,5%,"₹75,395 Cr",4
INFINIUM,Infinium Pharmachem Limited,2026-08-26,N/A,₹268.70,₹268.70,₹266.00,9.99%,10%,"₹28,836 Cr",0
SPECIALITY,Speciality Restaurants Limited,2026-08-26,N/A,₹149.34,₹149.34,₹140.00,5.00%,5%,"₹59,669 Cr",0
UCAL,UCAL Limited,2026-08-26,N/A,₹148.72,₹148.72,₹141.64,5.00%,5%,"₹27,297 Cr",0
TECHNVISN,TechNVision Ventures Limited,2026-08-26,N/A,₹5129.20,₹5129.20,₹4929.00,5.00%,5%,N/A,0
TECHLABS,Trident Techlabs Limited,2026-08-26,N/A,₹125.35,₹125.35,₹117.40,4.98%,5%,"₹101,694 Cr",0
LCCINFOTEC,LCC Infotech Limited,2026-08-26,N/A,₹3.75,₹3.75,₹3.30,9.97%,10%,"₹3,940 Cr",2
SAYAJIIND,Sayaji Industries Limited,2026-08-26,N/A,₹117.96,₹117.96,₹114.00,4.99%,5%,N/A,0
BNALTD,B & A Limited,2026-08-26,N/A,₹406.35,₹406.35,₹398.95,5.00%,5%,N/A,0
SYLVANPLY,Sylvan Plyboard (India) Limited,2026-08-26,N/A,₹54.00,₹54.00,₹53.95,4.96%,5%,"₹19,434 Cr",0
