Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
PROTEAN,Protean eGov Technologies Limited,2026-05-21,N/A,₹654.20,₹654.20,₹601.00,19.99%,20%,"₹220,543 Cr",46
EXICOM,Exicom Tele-Systems Limited,2026-05-21,N/A,₹137.91,₹137.91,₹116.35,19.99%,20%,"₹159,198 Cr",104
GENESYS,Genesys International Corporation Limited,2026-05-21,N/A,₹241.55,₹241.55,₹202.15,20.00%,20%,"₹83,784 Cr",46
JNKINDIA,JNK India Limited,2026-05-21,N/A,₹410.45,₹410.45,₹394.00,10.00%,10%,"₹190,365 Cr",15
CENTENKA,Century Enka Limited,2026-05-21,N/A,₹540.10,₹540.10,₹450.15,20.00%,20%,"₹97,871 Cr",10
ELECTHERM,Electrotherm (India) Limited,2026-05-21,N/A,₹850.60,₹850.60,₹680.10,20.00%,20%,"₹89,964 Cr",2
SUBEXLTD,Subex Limited,2026-05-21,N/A,₹10.72,₹10.72,₹10.01,5.00%,5%,"₹49,369 Cr",12
HITECHCORP,Hitech Corporation Limited,2026-05-21,N/A,₹169.05,₹169.05,₹155.01,20.00%,20%,"₹24,099 Cr",1
KECL,Kirloskar Electric Company Limited,2026-05-21,N/A,₹113.99,₹113.99,₹109.00,4.99%,5%,"₹62,835 Cr",1
A2ZINFRA,A2Z Infra Engineering Limited,2026-05-21,N/A,₹15.05,₹15.05,₹14.34,4.95%,5%,"₹22,175 Cr",3
RSDFIN,RSD Finance Limited,2026-05-21,N/A,₹101.92,₹101.92,₹90.16,19.99%,20%,N/A,0
KANANIIND,Kanani Industries Limited,2026-05-21,N/A,₹1.66,₹1.66,₹1.50,9.93%,10%,"₹2,710 Cr",8
AUSOMENT,AuSom Enterprise Limited,2026-05-21,N/A,₹128.68,₹128.68,₹123.01,4.99%,5%,"₹14,551 Cr",0
