Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
TEJASNET,Tejas Networks Limited,2026-02-26,N/A,₹381.35,₹381.35,₹323.55,20.00%,20%,"₹546,203 Cr",739
RUDRA,Rudra Global Infra Products Limited,2026-02-26,N/A,₹21.40,₹21.40,₹17.67,19.96%,20%,"₹17,823 Cr",14
TARMAT,Tarmat Limited,2026-02-26,N/A,₹64.89,₹64.89,₹55.39,19.99%,20%,"₹13,527 Cr",3
NEPHROCARE,"NEPHROCARE.NS,0P0001T9H9,502400",2026-02-26,N/A,₹73.00,₹73.00,₹68.45,9.94%,10%,"₹32,129 Cr",1
XTGLOBAL,XTGlobal Infotech Limited,2026-02-26,N/A,₹33.63,₹33.63,₹30.00,19.98%,20%,"₹37,726 Cr",1
MEGASTAR,Megastar Foods Limited,2026-02-26,N/A,₹235.58,₹235.58,₹226.65,5.00%,5%,"₹22,138 Cr",0
MEGAFLEX,"MEGAFLEX.NS,0P0001PNZU,6000",2026-02-26,N/A,₹135.45,₹135.45,₹132.00,5.00%,5%,"₹3,595 Cr",0
