Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
JTLIND,JTL Industries Limited,2026-04-08,N/A,₹58.51,₹58.51,₹50.60,20.00%,20%,"₹190,893 Cr",302
OMNI,OMNITECH ENGINEERING LTD,2026-04-08,N/A,₹342.51,₹342.51,₹292.11,20.00%,20%,"₹338,434 Cr",30
SEPC,SEPC Limited,2026-04-08,N/A,₹7.02,₹7.02,₹6.39,20.00%,20%,"₹113,230 Cr",678
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,2026-04-08,N/A,₹191.98,₹191.98,₹180.82,10.00%,10%,"₹1,752,361 Cr",16
SCHNEIDER,Schneider Electric Infrastructure Limited,2026-04-08,N/A,₹973.80,₹973.80,₹930.05,5.00%,5%,"₹1,932,568 Cr",2
GKENERGY,GK ENERGY LIMITED,2026-04-08,N/A,₹105.49,₹105.49,₹101.10,10.00%,10%,"₹177,580 Cr",10
MICEL,MIC Electronics Limited,2026-04-08,N/A,₹37.92,₹37.92,₹36.00,9.98%,10%,"₹75,855 Cr",17
OSWALAGRO,Oswal Agro Mills Limited,2026-04-08,N/A,₹53.90,₹53.90,₹46.68,19.99%,20%,"₹60,053 Cr",5
BOSCH-HCIL,Bosch Home Comfort India Limited,2026-04-08,N/A,₹1276.80,₹1276.80,₹1180.00,9.99%,10%,"₹289,116 Cr",0
HECPROJECT,HEC Infra Projects Limited,2026-04-08,N/A,₹131.58,₹131.58,₹112.00,20.00%,20%,"₹11,524 Cr",1
HINDCON,Hindcon Chemicals Limited,2026-04-08,N/A,₹23.17,₹23.17,₹19.90,19.99%,20%,"₹9,845 Cr",2
TNTELE,Tamilnadu Telecommunications Limited,2026-04-08,N/A,₹10.62,₹10.62,₹10.05,20.00%,20%,"₹4,027 Cr",5
SIKKO,Sikko Industries Limited,2026-04-08,N/A,₹4.97,₹4.97,₹4.68,9.96%,10%,"₹17,910 Cr",7
NEPHROCARE,"NEPHROCARE.NS,0P0001T9H9,502400",2026-04-08,N/A,₹75.30,₹75.30,₹65.85,20.00%,20%,"₹32,129 Cr",0
ESCONET,"ESCONET.NS,0P0001SEEF,52800",2026-04-08,N/A,₹120.25,₹120.25,₹120.20,9.97%,10%,"₹32,828 Cr",0
WEWIN,We Win Limited,2026-04-08,N/A,₹54.79,₹54.79,₹48.08,20.00%,20%,"₹4,621 Cr",0
SLONE,"SLONE.NS,0P0001SVQP,17600",2026-04-08,N/A,₹199.90,₹199.90,₹192.00,9.99%,10%,"₹6,997 Cr",0
SEJALLTD,Sejal Glass Limited,2026-04-08,N/A,₹510.65,₹510.65,₹510.65,9.99%,10%,"₹49,692 Cr",0
ARVEE,Arvee Laboratories (India) Ltd.,2026-04-08,N/A,₹153.89,₹153.89,₹153.00,10.00%,10%,"₹14,076 Cr",0
NAMAN,"NAMAN.NS,0P0001SLXH,35200",2026-04-08,N/A,₹50.20,₹50.20,₹46.00,9.97%,10%,"₹10,274 Cr",0
SANGANI,"SANGANI.NS,0P0001RFQ4,0",2026-04-08,N/A,₹43.25,₹43.25,₹40.00,4.98%,5%,"₹5,146 Cr",0
MADHUCON,Madhucon Projects Limited,2026-04-08,N/A,₹4.96,₹4.96,₹4.52,9.98%,10%,"₹3,038 Cr",1
PURVFLEXI,"PURVFLEXI.NS,0P0001SGEG,9600",2026-04-08,N/A,₹47.85,₹47.85,₹46.85,10.00%,10%,"₹28,588 Cr",0
